ApplStandard,Brand,Cap,Combination,Control,Country,Depth,Height,Model No,Family Name,N-Standard,Labelled energy consumption (kWh/year),New SRI,New Star,Prog Name,Prog Time,Sold_in,SubmitStatus,Submit_ID,Test_Moist_Remove,Tot_Wat_Cons,Registration Number,Type,Width,Record ID,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Star Rating (old),Star Image Large,Star Image Small
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2024,Kogan,8,No,Autosensing,China,-,-,KAGDRYCD80E,KAGDRYCD80*,AS/NZS 2442.1:1996/Amdt 4:2006,358,2.0411123759806333,2.0,cotton with arrow,220.0,"Australia,Fiji,New Zealand",Approved,137731,6.352,0.0,ACD0548,Condenser,-,137731,2026-05-07,,Single product class,Available,,http://www.kogan.com/au/,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2024,Kogan,8,No,Autosensing,China,-,-,KAGDRYCD80*,KAGDRYCD80*,AS/NZS 2442.1:1996/Amdt 4:2006,358,2.0411123759806333,2.0,cotton with arrow,220.0,"Australia,Fiji,New Zealand",Approved,137731,6.352,0.0,ACD0548,Condenser,-,137731,2026-05-07,,Single product class,Available,,http://www.kogan.com/au/,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2024,Haier,9,No,Autosensing,China,-,-,HDHP90AN1,HDHP09AN**,AS/NZS 2442.1:1996/Amdt 4:2006,145,8.327040315534873,8.0,"ECO, Cotton, Dry",286.0,"Australia,Fiji,New Zealand",Approved,137973,7.0865,0.0,ACD0551,Condenser,-,137973,2026-05-14,,Single product class,Available,,http://www.haier.com/,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_8_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-8.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2024,Haier,9,No,Autosensing,China,-,-,HDHP90ANB1,HDHP09AN**,AS/NZS 2442.1:1996/Amdt 4:2006,145,8.327040315534873,8.0,"ECO, Cotton, Dry",286.0,"Australia,Fiji,New Zealand",Approved,137973,7.0865,0.0,ACD0551,Condenser,-,137973,2026-05-14,,Single product class,Available,,http://www.haier.com/,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_8_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-8.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2024,MIELE,4,Yes,Autosensing,Germany,637.0,850.0,WTD160 WCS,,AS/NZS 2442.1:1996/Amdt 4:2006,126,4.201500091887191,4.0,Drying ECO 40-60 Normal,149.0,"Australia,New Zealand",Approved,138075,3.198,21.0,ACD0555,Condenser,596.0,138075,2026-06-02,,Single product class,Available,http://www.miele.com.au/,http://www.miele.com.au,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2024,MIELE,4,Yes,Autosensing,Germany,637.0,850.0,WTR870WPM,,AS/NZS 2442.1:1996/Amdt 4:2006,118,4.605128658039613,4.5,Drying ECO 40-60 Normal,143.0,"Australia,New Zealand",Approved,138082,3.185,21.0,ACD0554,Condenser,596.0,138082,2026-05-28,,Single product class,Available,http://www.miele.com.au/,http://www.miele.com.au,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2024,MIELE,5,Yes,Autosensing,Germany,714.0,850.0,WTW870 WPM,,AS/NZS 2442.1:1996/Amdt 4:2006,146,4.66802320271281,4.5,Drying ECO 40-60 Normal,174.0,"Australia,New Zealand",Approved,138087,3.989,25.0,ACD0556,Condenser,596.0,138087,2026-06-02,,Single product class,Available,http://www.miele.com.au/,http://www.miele.com.au,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2024,Haier,9,No,Autosensing,China,-,-,HDHP09AN**,HDHP09AN**,AS/NZS 2442.1:1996/Amdt 4:2006,145,8.327040315534873,8.0,"ECO, Cotton, Dry",286.0,"Australia,Fiji,New Zealand",Approved,137973,7.0865,0.0,ACD0551,Condenser,-,137973,2026-05-14,,Single product class,Available,,http://www.haier.com/,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_8_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-8.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2024,Kogan,4.5,No,Autosensing,China,-,-,KAJDRYVT45A,KAJDRYVT45*,AS/NZS 2442.1:1996/Amdt 4:2006,197,2.1762665566476347,2.0,IHS,209.0,"Australia,Fiji,New Zealand",Approved,138390,3.55,-,ACD0552,Vented,-,138390,2026-05-24,,Single product class,Available,,http://www.kogan.com/au/,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2024,Kogan,4.5,No,Autosensing,China,-,-,KAJDRYVT45B,KAJDRYVT45*,AS/NZS 2442.1:1996/Amdt 4:2006,197,2.1762665566476347,2.0,IHS,209.0,"Australia,Fiji,New Zealand",Approved,138390,3.55,-,ACD0552,Vented,-,138390,2026-05-24,,Single product class,Available,,http://www.kogan.com/au/,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
